profile_id,text,position_raw,department_true,department_pred,department_conf,seniority_true,seniority_pred,seniority_conf
106,manager mergers acquisitions,Manager | Mergers & Acquisitions,Other,Other,0.28572007632897933,Senior,Lead,1.0
107,technical transfer leader,Technical Transfer Leader,Consulting,Information Technology,1.0,Lead,Senior,0.35513086548200534
108,account manager sælger helly hansen workwear sjælland bornholm,Account manager / Sælger Helly Hansen Workwear Sjælland & Bornholm,Sales,Sales,1.0,Senior,Lead,1.0
109,geschaftsfuhrender gesellschafter,Geschäftsführender Gesellschafter,Other,Other,0.2683674120370323,Management,Management,0.8462650862039014
110,director,Director,Other,Other,1.0,Director,Director,1.0
111,lab mgr,Lab Mgr,Other,Other,0.29373551801041425,Lead,Senior,0.4010121905323098
112,unternehmensinhaber,Unternehmensinhaber,Other,Other,0.2726600002912511,Management,Senior,0.4175199924506954
113,board member cfo asset management,"Board Member, CFO / Asset Management",Other,Other,1.0,Management,Management,1.0
114,ceo,CEO,Other,Other,1.0,Management,Management,1.0
115,finance aws global private pricing,Finance - AWS Global Private Pricing,Other,Other,0.2537590764879237,Senior,Senior,0.3268611609480824
116,software developer,Software Developer,Information Technology,Information Technology,1.0,Senior,Senior,0.37680753650959253
117,vice president global head order processing prokurist,Vice President Global Head Order Processing / Prokurist,Other,Other,1.0,Management,Director,1.0
118,nailartist,NAILARTIST,Other,Other,0.2726600002912511,Senior,Senior,0.4175199924506954
119,ceo morgenpost tag 24 vertriebsleiter sachsische zeitung lesermark ceo mvd okoflitzer,CEO Morgenpost & TAG 24 | Vertriebsleiter Sächsische Zeitung / Lesermark | CEO MVD Ökoflitzer,Other,Other,1.0,Lead,Management,1.0
120,styreleder partner,Styreleder / Partner,Other,Other,0.20879110231908835,Management,Senior,0.37284978676797503
121,vertriebsleiter,Vertriebsleiter,Sales,Sales,1.0,Lead,Lead,0.9912006684686034
122,director of sales,Director of Sales,Sales,Other,1.0,Director,Director,1.0
123,industriekauffrau,Industriekauffrau,Administrative,Other,0.2726600002912511,Senior,Senior,0.4175199924506954
124,projektleiter qualitat hv batterie,Projektleiter Qualität HV-Batterie,Project Management,Project Management,0.6786381018476735,Lead,Lead,0.7365306324001498
125,global director head of portfolio and business development global service,Global Director Head of Portfolio and Business Development Global Service,Business Development,Business Development,1.0,Director,Director,1.0
126,betreuer,Betreuer,Customer Support,Other,0.27218189797168835,Senior,Senior,0.4175199924506954
127,summer camp counselor,Summer Camp Counselor,Other,Other,0.2726600002912511,Senior,Senior,0.4175199924506954
128,project lead for swap re engineering project,Project Lead for Swap Re-engineering Project,Project Management,Information Technology,1.0,Lead,Lead,1.0
129,kanzler cfo,Kanzler / CFO,Other,Other,1.0,Management,Management,1.0
130,manager purchasing,Manager Purchasing,Purchasing,Purchasing,0.9704657818297587,Senior,Lead,1.0
131,personalleiter,Personalleiter,Human Resources,Other,0.2726600002912511,Lead,Senior,0.4175199924506954
132,assistant director of prospect management and data analytics,Assistant Director of Prospect Management and Data Analytics,Other,Other,1.0,Director,Director,1.0
133,klavierlehrer korrepetitor,"Klavierlehrer, Korrepetitor",Other,Other,0.2726600002912511,Senior,Senior,0.4175199924506954
134,managing partner group managing board,Managing Partner / Group Managing Board,Other,Other,0.24559542286918704,Management,Lead,1.0
135,manager,Manager,Other,Other,0.28144101457522197,Senior,Lead,1.0
136,founder and senior partner,Founder and Senior Partner,Consulting,Other,1.0,Management,Management,1.0
137,vorsitzender des vorstandes,Vorsitzender des Vorstandes,Other,Other,1.0,Management,Management,0.6453269816787869
138,head of engineering,Head of Engineering,Information Technology,Information Technology,1.0,Lead,Director,1.0
139,oberarzt uc,Oberarzt UC,Other,Other,0.2726600002912511,Management,Senior,0.4175199924506954
140,district sales manager,District Sales manager,Sales,Sales,1.0,Lead,Lead,1.0
141,assistant treasurer real estate,Assistant Treasurer Real Estate,Other,Other,1.0,Junior,Senior,0.6047578935584055
142,managing dircector,Managing Dircector,Other,Other,1.0,Management,Management,1.0
143,director of business analysts and special projects,Director of Business Analysts and Special Projects,Information Technology,Other,1.0,Director,Director,1.0
144,robotertechniker,Robotertechniker,Information Technology,Other,0.2726600002912511,Senior,Senior,0.4175199924506954
145,oo koordinator fur das team der bereiche beschlagwortung zustellproblem,OÖ Koordinator für das Team der Bereiche Beschlagwortung / Zustellproblem,Purchasing,Other,0.23401062018782545,Lead,Senior,0.4263324503337815
146,head of content workflows,Head of Content & Workflows,Marketing,Marketing,1.0,Lead,Director,1.0
147,scierie collignon,Scierie collignon,Other,Other,0.2726600002912511,Senior,Senior,0.4175199924506954
148,godsejer,Godsejer,Other,Other,0.2726600002912511,Management,Senior,0.4175199924506954
149,senior microsoft 365 engineer,Senior Microsoft 365 Engineer,Information Technology,Information Technology,1.0,Senior,Senior,1.0
150,product manager online catalog shop,Product Manager Online Catalog & Shop,Other,Other,0.32001185060775417,Senior,Lead,1.0
151,diplom bauingenieur,Diplom Bauingenieur,Other,Information Technology,1.0,Senior,Senior,0.4175199924506954
152,executive director marketing strategy director,"Executive Director, Marketing Strategy Director",Marketing,Marketing,1.0,Management,Director,1.0
153,leiter controlling und rechnungswesen,Leiter Controlling und Rechnungswesen,Other,Other,0.35968274565448227,Lead,Lead,0.9264593721838016
154,president,President,Other,Other,0.3044383157644176,Management,Management,0.9523339492835112
155,architektin fachgebietsleitung technisches und strategisches gebaudemanagement,"Architektin, Fachgebietsleitung Technisches und Strategisches Gebäudemanagement",Project Management,Other,0.35622488718551415,Lead,Lead,0.5897687699670582
156,shop manager,Shop Manager,Administrative,Other,0.28144101457522197,Lead,Lead,1.0
157,co ceo,Co-CEO,Other,Other,1.0,Management,Management,1.0
158,grafiker,Grafiker,Marketing,Other,0.2726600002912511,Senior,Senior,0.4175199924506954
159,it hosting,IT HOSTING,Information Technology,Information Technology,1.0,Senior,Senior,0.46551099842099347
160,vice president,Vice President,Other,Other,0.31180424336474327,Management,Director,1.0
161,krankenhausgeschaftsfuhrer,Krankenhausgeschäftsführer,Other,Other,1.0,Management,Senior,0.4175199924506954
162,co head of bid management ce,Co-Head of Bid Management CE,Sales,Other,0.2536059172941499,Lead,Director,1.0
163,leiter it service und betriebsmanagement,Leiter IT-Service- und Betriebsmanagement,Information Technology,Information Technology,1.0,Lead,Lead,0.9050435616268311
164,senior human resources consultant,Senior Human Resources Consultant,Consulting,Human Resources,0.7792189035519131,Senior,Senior,1.0
165,senior legal advisor,Senior Legal Advisor,Other,Other,1.0,Senior,Senior,1.0
166,physiotherapeutin,Physiotherapeutin,Other,Other,0.2726600002912511,Senior,Senior,0.4175199924506954
167,research associate,Research Associate,Consulting,Other,0.227565183412111,Junior,Junior,1.0
168,geschaftsfuhrender gesellschafter,Geschäftsführender Gesellschafter,Other,Other,0.2683674120370323,Management,Management,0.8462650862039014
169,finance director central europe,Finance Director Central Europe 🇩🇪🇨🇭🇵🇱,Other,Other,1.0,Director,Director,1.0
170,senior program analyst immigration,Senior Program Analyst (Immigration),Other,Other,0.17939070174781946,Senior,Senior,1.0
171,betriebsleiter,Betriebsleiter,Other,Other,0.2726600002912511,Lead,Senior,0.5342940870827615
172,chief executive officer,Chief Executive Officer,Other,Other,0.27345836040690913,Management,Management,1.0
173,chief strategy officer cso,Chief Strategy Officer (CSO),Other,Other,0.2406714532509202,Management,Management,1.0
174,lead consultant,Lead Consultant,Consulting,Consulting,0.9989549700678733,Lead,Senior,0.9629524643917092
175,cto,CTO,Information Technology,Other,1.0,Management,Management,1.0
176,software developer,Software Developer,Information Technology,Information Technology,1.0,Senior,Senior,0.37680753650959253
177,cto,CTO,Information Technology,Other,1.0,Management,Management,1.0
178,vertrieb außendienst,Vertrieb Außendienst,Sales,Sales,1.0,Senior,Lead,0.744240848770748
179,projektkoordinator,Projektkoordinator,Project Management,Project Management,0.707195947165623,Lead,Senior,0.43991379897268856
180,hoofd bouwbureau,Hoofd Bouwbureau,Other,Other,0.2726600002912511,Lead,Senior,0.4175199924506954
181,head of package installation design igc,Head of Package & Installation Design IGC,Project Management,Marketing,1.0,Lead,Director,1.0
182,director general sector and global programmes,Director General Sector and Global Programmes,Other,Other,1.0,Director,Director,1.0
183,station manager at ground2air in palma de mallorca,Station Manager at Ground2Air in Palma de Mallorca,Other,Other,0.2976390204180376,Lead,Lead,1.0
184,bereichs pdl,Bereichs PDL,Other,Other,0.2726600002912511,Lead,Senior,0.4175199924506954
185,geschaftsfuhrer,Geschäftsführer,Other,Other,1.0,Management,Management,0.9994884898898059
186,geschaftsinhaber,Geschäftsinhaber,Other,Other,0.2726600002912511,Management,Senior,0.4175199924506954
187,geschaftsfuhrer cfo,Geschäftsführer CFO,Other,Other,1.0,Management,Management,1.0
188,responsable des ressources humaines,Responsable des ressources humaines,Human Resources,Other,0.2986462562773416,Lead,Senior,0.6429019834523301
189,senior project leader,Senior Project Leader,Project Management,Project Management,1.0,Lead,Senior,1.0
190,editor publisher,"Editor, Publisher",Other,Other,0.2792556883339168,Senior,Senior,0.37895929549512647
191,selbststandig,Selbstständig,Other,Other,0.26718657012506236,Senior,Senior,0.4175199924506954
192,verwaltungsratsvorsitzender,Verwaltungsratsvorsitzender,Other,Other,0.2726600002912511,Management,Senior,0.4175199924506954
193,dozent ausbilder,Dozent/ Ausbilder,Other,Other,0.26582510214774274,Senior,Senior,0.39635910530105306
194,teamleder arkitektur drift og sikkerhet it seksjonen vid,"Teamleder arkitektur, drift og sikkerhet IT-seksjonen VID",Information Technology,Information Technology,1.0,Lead,Senior,0.4526147061510172
195,mechanical engineer,Mechanical Engineer,Other,Information Technology,1.0,Senior,Senior,0.8748054536138997
196,dualer student,Dualer Student,Other,Other,0.2441311318128735,Junior,Senior,0.44445371601430494
197,responsable technique,Responsable technique,Information Technology,Other,0.45472562081882734,Lead,Senior,0.765102495621781
198,partner,Partner,Business Development,Other,0.20879110231908835,Management,Senior,0.37284978676797503
199,geschaftsfuhrer und podcast host,Geschäftsführer und Podcast-Host,Other,Other,1.0,Management,Management,0.9536385339777694
200,business consultant,Business Consultant,Consulting,Business Development,0.907579657902933,Senior,Senior,0.9149483303110301
201,president of the board of directors,President Of The Board Of Directors,Other,Other,1.0,Management,Director,1.0
202,landwirt,Landwirt,Other,Other,0.2726600002912511,Senior,Senior,0.4175199924506954
203,head of group capital markets,Head of Group Capital Markets,Other,Other,0.2639299603147325,Lead,Director,1.0
204,executive advisor,Executive Advisor,Consulting,Other,0.21972059924500964,Management,Senior,0.7559791457546832
205,chairman of board of appeal and member of enlarged board of appeal,Chairman of Board of Appeal and Member of Enlarged Board of Appeal,Other,Other,0.2676878389177916,Management,Senior,0.42862123142292996
206,citrix systems engineer,Citrix Systems Engineer,Information Technology,Information Technology,1.0,Senior,Senior,0.6775761848769316
207,anesthesiemedewerker,Anesthesiemedewerker,Other,Other,0.2726600002912511,Senior,Senior,0.4175199924506954
208,managing director,Managing Director,Other,Other,1.0,Management,Director,1.0
209,teamleiter logistik,Teamleiter Logistik,Other,Other,0.3630088710541266,Lead,Lead,0.8872589266317166
210,vertriebsdirektor,Vertriebsdirektor,Sales,Sales,1.0,Director,Senior,0.3067593327546826
211,projektleder,Projektleder,Project Management,Other,0.31807965823362916,Lead,Senior,0.4175199924506954
212,geschaftsfuhrer,Geschäftsführer,Other,Other,1.0,Management,Management,0.9994884898898059
213,geschaftsfuhrer,Geschäftsführer,Other,Other,1.0,Management,Management,0.9994884898898059
214,ceo,CEO,Other,Other,1.0,Management,Management,1.0
215,gerente de comunicacao e marketing,Gerente de Comunicação e Marketing,Marketing,Marketing,1.0,Senior,Senior,0.4173912235019598
216,operadora de empilhadeira,Operadora de empilhadeira,Other,Marketing,0.49011682040449456,Senior,Senior,0.50598790053933
217,beamter,Beamter,Other,Other,0.2726600002912511,Senior,Senior,0.4175199924506954
218,geschaftsfuhrer finanzen,Geschäftsführer Finanzen,Other,Other,1.0,Management,Management,0.9451520686761019
219,ceo,CEO,Other,Other,1.0,Management,Management,1.0
220,masterblaster,masterblaster,Other,Other,0.2726600002912511,Senior,Senior,0.4175199924506954
221,algemeen directeur,Algemeen directeur,Other,Other,0.31088989882886503,Management,Senior,0.35671145588649006
222,executive director,Executive Director,Other,Other,1.0,Management,Director,1.0
223,student records manager,Student Records Manager,Administrative,Other,0.2573614307960971,Lead,Lead,1.0
224,supply chain lead master planning,Supply Chain Lead & Master Planning,Other,Other,0.26849095463668504,Lead,Lead,1.0
225,chief executive officer,Chief Executive Officer,Other,Other,0.27345836040690913,Management,Management,1.0
226,information technology business analyst,Information Technology Business Analyst,Information Technology,Information Technology,1.0,Senior,Junior,1.0
227,global vp and head of sustainability innovation,Global VP and Head of Sustainability Innovation,Other,Other,0.25632070204852647,Management,Director,1.0
228,sr application software engineer,Sr. Application Software Engineer,Information Technology,Information Technology,1.0,Senior,Senior,1.0
229,vorstandsvorsitzender,Vorstandsvorsitzender,Other,Other,1.0,Management,Senior,0.4175199924506954
230,private equity investments,Private Equity Investments,Other,Other,0.29079162000434616,Senior,Senior,0.43722199158418823
231,devops orchestration manager,DevOps Orchestration Manager,Information Technology,Information Technology,1.0,Senior,Lead,1.0
232,leiter expansion und projektentwicklung,Leiter Expansion und Projektentwicklung,Project Management,Business Development,1.0,Lead,Lead,0.968678368179753
233,legal services,Legal Services,Other,Other,1.0,Senior,Senior,0.4992489073074039
234,head of marketing promoting label free cell analysis technology,Head of Marketing: Promoting label-free cell analysis technology,Marketing,Information Technology,1.0,Lead,Director,1.0
235,kfz mechatroniker,Kfz-Mechatroniker,Other,Other,0.2726600002912511,Senior,Senior,0.4175199924506954
236,grafik designer,Grafik Designer,Marketing,Marketing,1.0,Senior,Senior,0.3751396271940623
237,chief technology officer,Chief Technology Officer,Information Technology,Information Technology,1.0,Management,Management,1.0
238,manager regional key accounts americas,Manager Regional Key Accounts Americas,Sales,Sales,1.0,Senior,Lead,1.0
239,digital project managerin marketing,Digital Project Managerin Marketing,Marketing,Marketing,1.0,Senior,Lead,1.0
240,mediaberater dps fachzeitschrift f schadlingsbekampfung salesmanager dps pest control magazine,Mediaberater DpS - Fachzeitschrift f. Schädlingsbekämpfung/SalesManager DpS - Pest Control Magazine,Sales,Sales,1.0,Senior,Lead,1.0
242,head of logistics,Head of Logistics,Other,Other,0.23772631692697066,Lead,Director,1.0
243,data analyst,Data Analyst,Information Technology,Information Technology,1.0,Senior,Junior,1.0
244,manager program management engineering,"Manager Program Management, Engineering",Project Management,Information Technology,1.0,Senior,Lead,1.0
245,kfm prokurist,kfm. Prokurist,Other,Other,1.0,Management,Lead,0.5753175909288674
246,founding partner,Founding Partner,Other,Other,0.20879110231908835,Management,Senior,0.29307679324282615
247,directeur de la construction,Directeur de la construction,Other,Other,0.4081530738569076,Director,Senior,0.3797918508237029
248,chief executive officer,Chief Executive Officer,Other,Other,0.27345836040690913,Management,Management,1.0
249,director of business development,Director of Business Development,Business Development,Business Development,1.0,Director,Director,1.0
250,neutraubling,Neutraubling,Other,Other,0.2726600002912511,Senior,Senior,0.4175199924506954
251,abteilungsdirektor vertrieb,Abteilungsdirektor Vertrieb,Sales,Sales,1.0,Director,Senior,0.3939036083801521
252,data analyst sustainable fund finance,Data Analyst (Sustainable & Fund Finance),Other,Information Technology,1.0,Senior,Junior,1.0
253,kundansvarig,Kundansvarig,Sales,Other,0.2726600002912511,Senior,Senior,0.4175199924506954
254,geschaftsfuhrer,Geschäftsführer,Other,Other,1.0,Management,Management,0.9994884898898059
255,referatsleiter,Referatsleiter,Other,Other,0.31714439430152386,Lead,Senior,0.44482454464709814
256,global it solution architect supply chain transportation,Global IT | Solution Architect Supply Chain Transportation,Information Technology,Information Technology,1.0,Senior,Senior,0.36763801019894926
257,bilgisayar muhendisi,Bilgisayar mühendisi,Information Technology,Other,0.2726600002912511,Senior,Senior,0.4175199924506954
258,leiterin e commerce,Leiterin E-Commerce,Marketing,Other,0.27467766669422145,Lead,Lead,0.7931627756731894
259,buroleiter,Büroleiter,Administrative,Other,0.29468963655454095,Lead,Senior,0.4697796108510163
260,managing director,Managing Director,Other,Other,1.0,Management,Director,1.0
261,ppa head of treasury insurance,ppa. Head of Treasury & Insurance,Other,Other,0.2866822812536505,Lead,Director,1.0
262,sourcing specialist,Sourcing Specialist,Purchasing,Marketing,0.4712832266349358,Senior,Lead,1.0
263,marketing vertriebsmanager,Marketing Vertriebsmanager,Marketing,Sales,1.0,Lead,Lead,1.0
264,secretary,Secretary,Administrative,Other,0.2726600002912511,Senior,Senior,0.4175199924506954
265,tanzer entertainer dj,Tänzer Entertainer DJ,Other,Other,0.2726600002912511,Senior,Senior,0.4175199924506954
266,founder owner,"Founder, Owner",Other,Other,1.0,Management,Management,1.0
267,marketplace manager online shop manager,Marketplace Manager / Online Shop Manager,Sales,Other,0.33866494494052035,Senior,Lead,1.0
268,vorsitzender des vorstandes ceo,Vorsitzender des Vorstandes (CEO),Other,Other,1.0,Management,Management,1.0
269,geschaftsfuhrer,Geschäftsführer,Other,Other,1.0,Management,Management,0.9994884898898059
270,teamleiter disposition fahrzeuge und stv ressourcenplaner,Teamleiter Disposition Fahrzeuge und Stv. Ressourcenplaner,Other,Other,0.39151856844467914,Lead,Lead,0.9534875313776102
271,media communication intern,Media Communication Intern,Marketing,Marketing,1.0,Junior,Junior,1.0
272,account manager,Account Manager,Sales,Sales,1.0,Senior,Lead,1.0
